Entity,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Fiji,FJI,68.0,70.0,64.0,80.0,77.0,69.0,71.0,90.0,98.0,98.0,97.0,99.0,97.0,96.0,96.0,97.0,97.0,86.0,87.0,89.0,90.0,91.0,93.0,94.0,95.0,96.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Finland,FIN,92.0,92.0,94.0,94.0,95.0,96.0,97.0,98.0,99.0,90.0,90.0,95.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,97.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,97.0,92.0,89.0,91.0,91.0,90.0,89.0
France,FRA,79.0,79.0,85.0,90.0,94.0,95.0,96.0,88.0,79.0,95.0,94.0,94.0,94.0,94.0,96.0,96.0,97.0,97.0,96.0,97.0,97.0,97.0,97.0,97.0,98.0,98.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,98.0,97.0,96.0,96.0,96.0,96.0,96.0,96.0
Gabon,GAB,,,,14.0,31.0,48.0,59.0,65.0,72.0,78.0,78.0,72.0,66.0,67.0,69.0,70.0,62.0,54.0,50.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,81.0,82.0,76.0,67.0,75.0,82.0,79.0,70.0,80.0,75.0,75.0,70.0,70.0,63.0,75.0
Gambia,GMB,63.0,76.0,80.0,62.0,70.0,78.0,73.0,85.0,82.0,87.0,92.0,85.0,85.0,90.0,93.0,96.0,96.0,96.0,85.0,74.0,80.0,87.0,87.0,87.0,87.0,95.0,95.0,95.0,96.0,98.0,97.0,96.0,98.0,97.0,96.0,97.0,95.0,92.0,93.0,88.0,85.0,82.0
Georgia,GEO,,,,,,,,,,,,,58.0,54.0,58.0,79.0,80.0,80.0,80.0,84.0,80.0,87.0,84.0,75.0,78.0,82.0,88.0,98.0,92.0,88.0,92.0,94.0,92.0,93.0,91.0,94.0,92.0,91.0,93.0,94.0,88.0,85.0
Germany,DEU,,95.0,97.0,93.0,94.0,80.0,90.0,80.0,80.0,80.0,80.0,80.0,85.0,62.0,73.0,78.0,84.0,87.0,89.0,97.0,90.0,93.0,93.0,97.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,95.0,95.0,93.0,93.0,93.0,91.0,91.0,91.0,91.0,91.0,91.0
Ghana,GHA,7.0,22.0,23.0,23.0,19.0,22.0,35.0,42.0,47.0,51.0,58.0,60.0,62.0,66.0,70.0,70.0,71.0,71.0,76.0,79.0,88.0,79.0,78.0,80.0,80.0,84.0,84.0,94.0,93.0,94.0,94.0,91.0,92.0,90.0,98.0,88.0,93.0,99.0,97.0,97.0,94.0,98.0
Greece,GRC,72.0,95.0,83.0,72.0,60.0,54.0,80.0,82.0,83.0,54.0,54.0,85.0,89.0,89.0,90.0,90.0,90.0,90.0,89.0,88.0,89.0,91.0,92.0,94.0,95.0,96.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Grenada,GRD,25.0,43.0,56.0,68.0,76.0,61.0,98.0,80.0,65.0,87.0,80.0,85.0,90.0,89.0,91.0,95.0,80.0,95.0,97.0,88.0,97.0,96.0,98.0,97.0,83.0,99.0,91.0,96.0,99.0,99.0,97.0,95.0,97.0,97.0,97.0,92.0,96.0,96.0,95.0,92.0,72.0,72.0
Guatemala,GTM,43.0,42.0,45.0,44.0,48.0,21.0,37.0,16.0,47.0,50.0,66.0,63.0,66.0,75.0,71.0,77.0,66.0,73.0,78.0,77.0,81.0,77.0,82.0,84.0,87.0,87.0,89.0,85.0,95.0,92.0,94.0,88.0,96.0,96.0,74.0,70.0,83.0,91.0,85.0,85.0,83.0,79.0
Guinea,GIN,,,15.0,15.0,15.0,15.0,15.0,15.0,16.0,17.0,17.0,36.0,52.0,53.0,53.0,54.0,48.0,47.0,56.0,43.0,46.0,50.0,53.0,57.0,60.0,59.0,57.0,63.0,60.0,57.0,64.0,63.0,57.0,50.0,44.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
Guinea-Bissau,GNB,,,,9.0,18.0,18.0,47.0,55.0,66.0,54.0,61.0,63.0,67.0,63.0,74.0,45.0,53.0,63.0,54.0,45.0,49.0,53.0,57.0,60.0,64.0,68.0,71.0,74.0,77.0,80.0,83.0,86.0,87.0,87.0,86.0,86.0,85.0,79.0,82.0,78.0,74.0,67.0
Guyana,GUY,35.0,45.0,53.0,58.0,70.0,75.0,64.0,67.0,64.0,77.0,83.0,81.0,79.0,93.0,90.0,86.0,83.0,88.0,90.0,83.0,88.0,85.0,91.0,90.0,91.0,93.0,93.0,94.0,93.0,98.0,95.0,93.0,97.0,98.0,98.0,95.0,97.0,97.0,95.0,99.0,99.0,91.0
Haiti,HTI,3.0,14.0,13.0,9.0,14.0,19.0,24.0,28.0,48.0,50.0,41.0,36.0,38.0,39.0,41.0,42.0,42.0,42.0,41.0,39.0,43.0,46.0,50.0,53.0,57.0,60.0,62.0,64.0,64.0,65.0,67.0,68.0,66.0,65.0,63.0,64.0,64.0,64.0,64.0,51.0,51.0,51.0
